"","Наименование профессии (должности","Наименование специальной одежды, специальной обуви и других средств индивидуальной защиты","Норма выдачи на год (штуки, пары, комплекты)"
"","Формовщик изделий, конструкций и строительных материалов","Сапоги резиновые с защитным подноском","1 пара"
"","Формовщик изделий, конструкций и строительных материалов","Перчатки с полимерным покрытием","12 пар"
"","Формовщик изделий, конструкций и строительных материалов","Очки защитные","до износа"
"","Формовщик машинной формовки","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Формовщик машинной формовки","Перчатки с полимерным покрытием","12 пар"
"","Формовщик машинной формовки","Очки защитные","до износа"
"","Формовщик машинной формовки","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Формовщик по выплавляемым моделям","Костюм для защиты от повышенных температур","1 шт."
"","Формовщик по выплавляемым моделям","Перчатки с полимерным покрытием","12 пар"
"","Формовщик по выплавляемым моделям","Перчатки для защиты от повышенных температур, искр и брызг расплавленного металла","4 пары"
"","Формовщик по выплавляемым моделям","Щиток защитный лицевой или","до износа"
"","Формовщик по выплавляемым моделям","Очки защитные","до износа"
"","Формовщик ручной формовки","Костюм для защиты от повышенных температур","1 шт."
"","Формовщик ручной формовки","Фартук для защиты от повышенных температур","1 шт."
"","Формовщик ручной формовки","Перчатки с полимерным покрытием","12 пар"
"","Формовщик ручной формовки","Перчатки для защиты от повышенных температур, искр и брызг расплавленного металла","12 пар"
"","Формовщик ручной формовки","Щиток защитный лицевой или","до износа"
"","Формовщик ручной формовки","Очки защитные","до износа"
"","Формовщик ручной формовки","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Формовщик стеклопластиковых изделий","Костюм для защиты от повышенных температур","1 шт."
"","Формовщик стеклопластиковых изделий","Фартук из полимерных материалов с нагрудником","2 шт."
"","Формовщик стеклопластиковых изделий","Перчатки с полимерным покрытием","12 пар"
"","Формовщик стеклопластиковых изделий","Перчатки для защиты от повышенных температур, искр и брызг расплавленного металла","4 пары"
"","Формовщик стеклопластиковых изделий","Щиток защитный лицевой или","до износа"
"","Формовщик стеклопластиковых изделий","Очки защитные","до износа"
"","Футеровщик (кислотоупорщик)","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Футеровщик (кислотоупорщик)","Сапоги резиновые с защитным подноском","1 пара"
"","Футеровщик (кислотоупорщик)","Нарукавники из полимерных материалов","до износа"
"","Футеровщик (кислотоупорщик)","Перчатки с полимерным покрытием","12 пар"
"","Футеровщик (кислотоупорщик)","Щиток защитный лицевой или","до износа"
"","Футеровщик (кислотоупорщик)","Очки защитные","до износа"
"","Футеровщик (кислотоупорщик)","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Чистильщик дымоходов, боровов и топок","Комбинезон для защиты от токсичных веществ и пыли из нетканых материалов","1 шт."
"","Чистильщик дымоходов, боровов и топок","Фартук из полимерных материалов с нагрудником","2 шт."
"","Чистильщик дымоходов, боровов и топок","Сапоги резиновые с защитным подноском","1 пара"
"","Чистильщик дымоходов, боровов и топок","Перчатки с полимерным покрытием или","12 пар"
"","Чистильщик дымоходов, боровов и топок","Перчатки с точечным покрытием","до износа"
"","Чистильщик дымоходов, боровов и топок","Перчатки резиновые или из полимерных материалов","6 пар"
"","Чистильщик дымоходов, боровов и топок","Щиток защитный лицевой или","до износа"
"","Чистильщик дымоходов, боровов и топок","Очки защитные","до износа"
"","Чистильщик дымоходов, боровов и топок","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Фартук из полимерных материалов с нагрудником","2 шт."
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Перчатки с полимерным покрытием","12 пар"
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Щиток защитный лицевой или","до износа"
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Очки защитные","до износа"
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","При работе с кислотой:",""
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Костюм для защиты от растворов кислот и щелочей","1 шт."
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Фартук из полимерных материалов с нагрудником","2 шт."
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Сапоги резиновые с защитным подноском","1 пара"
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Перчатки резиновые или из полимерных материалов","6 пар"
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Щиток защитный лицевой или","до износа"
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Очки защитные","до износа"
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","На работах огневым способом:",""
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Костюм для защиты от повышенных температур","1 шт."
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Фартук для защиты от повышенных температур","2 шт."
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Перчатки с полимерным покрытием","12 пар"
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Перчатки для защиты от повышенных температур, искр и брызг расплавленного металла","12 пар"
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Щиток защитный лицевой или","до износа"
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Очки защитные","до износа"
"","Чистильщик металла, отливок, изделий и деталей; мойщик-сушильщик металла","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Чистильщик продукции","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Чистильщик продукции","Сапоги резиновые с защитным подноском","1 пара"
"","Чистильщик продукции","Перчатки с полимерным покрытием","12 пар"
"","Чистильщик продукции","Очки защитные","до износа"
"","Чистильщик продукции","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Шламовщик-бассейнщик","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Шламовщик-бассейнщик","Сапоги резиновые с защитным подноском","1 пара"
"","Шламовщик-бассейнщик","Перчатки с полимерным покрытием","12 пар"
"","Шламовщик-бассейнщик","Очки защитные","до износа"
"","Шламовщик-бассейнщик","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Шуровщик топлива","При работе в котельной, работающей на твердом минеральном топливе:",""
"","Шуровщик топлива","при механической загрузке:",""
"","Шуровщик топлива","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Шуровщик топлива","Перчатки с полимерным покрытием","12 пар"
"","Шуровщик топлива","Щиток защитный лицевой или","до износа"
"","Шуровщик топлива","Очки защитные при ручной загрузке:","до износа"
"","Шуровщик топлива","Костюм для защиты от повышенных температур","1 шт."
"","Шуровщик топлива","Перчатки с полимерным покрытием","12 пар"
"","Шуровщик топлива","Щиток защитный лицевой или","до износа"
"","Шуровщик топлива","Очки защитные","до износа"
"","Шуровщик топлива","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Шуровщик топлива","При работе в котельной, работающей на дровах и других видах топлива:",""
"","Шуровщик топлива","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Шуровщик топлива","Фартук из полимерных материалов с нагрудником","1 шт."
"","Шуровщик топлива","Перчатки с полимерным покрытием","12 пар"
"","Экипировщик","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Экипировщик","Перчатки с полимерным покрытием","12 пар"
"","Экипировщик","Очки защитные","до износа"
"","Экипировщик","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Экспедитор; транспортный экспедитор; агент по снабжению","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Экспедитор; транспортный экспедитор; агент по снабжению","Перчатки с полимерным покрытием","4 пары"
"","Электромеханик по лифтам; электромеханик по средствам автоматики и приборам технологического оборудования; электромеханик; электромонтер по ремонту обмоток и изоляции электрооборудования","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Электромеханик по лифтам; электромеханик по средствам автоматики и приборам технологического оборудования; электромеханик; электромонтер по ремонту обмоток и изоляции электрооборудования","Боты или галоши диэлектрические","дежурные"
"","Электромеханик по лифтам; электромеханик по средствам автоматики и приборам технологического оборудования; электромеханик; электромонтер по ремонту обмоток и изоляции электрооборудования","Перчатки диэлектрические","дежурные"
"","Электромеханик по лифтам; электромеханик по средствам автоматики и приборам технологического оборудования; электромеханик; электромонтер по ремонту обмоток и изоляции электрооборудования","Перчатки с полимерным покрытием или","12 пар"
"","Электромеханик по лифтам; электромеханик по средствам автоматики и приборам технологического оборудования; электромеханик; электромонтер по ремонту обмоток и изоляции электрооборудования","Перчатки с точечным покрытием","до износа"
"","Электромеханик по лифтам; электромеханик по средствам автоматики и приборам технологического оборудования; электромеханик; электромонтер по ремонту обмоток и изоляции электрооборудования","Щиток защитный лицевой или","до износа"
"","Электромеханик по лифтам; электромеханик по средствам автоматики и приборам технологического оборудования; электромеханик; электромонтер по ремонту обмоток и изоляции электрооборудования","Очки защитные","до износа"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","При выполнении работ в условиях, связанных с риском возникновения электрической дуги:",""
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Комплект для защиты от термических рисков электрической дуги:",""
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Костюм из термостойких материалов с постоянными защитными свойствами","1 шт. на 2 года"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Куртка-накидка из термостойких материалов с постоянными защитными свойствами","1 шт. на 2 года"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Куртка-рубашка из термостойких материалов с постоянными защитными свойствами","1 шт. на 2 года"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Белье нательное хлопчатобумажное или","2 комплекта"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Белье нательное термостойкое","2 комплекта"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Фуфайка-свитер из термостойких материалов","1 шт. на 2 года"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Ботинки кожаные с защитным подноском для защиты от повышенных температур на термостойкой маслобензостойкой подошве или","1 пара"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Сапоги кожаные с защитным подноском для защиты от повышенных температур на термостойкой маслобензостойкой подошве","1 пара"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Перчатки трикотажные термостойкие","4 пары"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Боты или галоши диэлектрические","дежурные"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Перчатки диэлектрические","дежурные"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Щиток защитный термостойкий","до износа"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","При выполнении работ в условиях, не связанных с риском возникновения электрической дуги:",""
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Сапоги резиновые с защитным подноском","1 пара"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Перчатки с полимерным покрытием или","12 пар"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Перчатки с точечным покрытием","до износа"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Боты или галоши диэлектрические","дежурные"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Перчатки диэлектрические","дежурные"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Щиток защитный лицевой или","до износа"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Очки защитные","до износа"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","При занятости на горячих участках работ:",""
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Костюм для защиты от повышенных температур","1 шт."
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Перчатки с полимерным покрытием","6 пар"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Перчатки с точечным покрытием","12 пар"
"","Электромонтажник по силовым сетям и электрооборудованию; электромонтер по обслуживанию электроустановок; электромонтер по ремонту аппаратуры релейной защиты и автоматики; электромонтер по ремонту и обслуживанию электрооборудования; электрослесарь по ремонту оборудования распределительных устройств; электромонтер тяговой подстанции; электромонтер по ремонту и монтажу кабельных линий","Боты или галоши диэлектрические","дежурные"
